surname,customer_id,country,age,gender,balance,num_products,tenure,credit_card,active_member,credit_score,salary,churn
Chibugo,15641582,Germany,43,Male,123180.01,2,10,1,1,735,196673.28,0
Glauert,15638424,Germany,35,Female,150725.53,2,5,0,1,661,113656.85,0
Pisano,15755648,France,21,Female,98373.26,1,8,1,0,675,18203,0
Konovalova,15703793,Germany,58,Male,133745.44,4,2,1,0,738,28373.86,1
McKee,15620344,France,29,Male,0,1,6,1,0,813,33953.87,0
Palermo,15812518,Spain,37,Female,163607.18,1,0,0,1,657,44203.55,0
Ballard,15779052,Germany,25,Female,157780.84,2,5,1,1,604,58426.81,0
Wallace,15770811,France,36,Male,0,2,9,0,1,519,145562.4,0
Cavenagh,15780961,France,21,Female,178718.19,2,1,1,0,735,22388,0
Hu,15614049,France,55,Male,0,2,8,1,1,664,139161.64,0
Read,15662085,France,32,Female,0,1,9,1,1,678,148210.64,0
Bushell,15575185,Spain,33,Male,77253.22,1,5,0,1,757,194239.63,0
Postle,15803136,Germany,41,Female,122189.66,2,10,1,0,416,98301.61,0
Buley,15706021,France,34,Female,96645.54,2,1,0,0,665,171413.66,0
Leonard,15663706,France,32,Female,0,1,2,1,0,777,136458.19,1
Mills,15641732,France,36,Female,0,2,3,0,0,543,26019.59,0
Onyeorulu,15701164,France,34,Female,90307.62,1,4,1,1,506,159235.29,0
Beit,15738751,France,46,Female,0,2,4,1,0,493,1907.66,0
Ndukaku,15805254,Spain,75,Female,0,2,10,1,1,652,114675.75,0
Gant,15762418,Spain,22,Male,121681.82,1,3,1,0,750,128643.35,1
Rowley,15625759,France,30,Male,0,2,9,1,0,729,151869.35,0
Sharpe,15622897,France,46,Female,0,3,4,1,0,646,93251.42,1
Osborne,15767954,Germany,28,Female,81623.67,2,3,1,1,635,156791.36,0
Heap,15757535,Spain,44,Female,0,3,5,1,1,647,174205.22,1
Ritchie,15731511,France,45,Male,118626.55,2,7,1,0,808,147132.46,0
Cole,15809248,France,36,Female,0,2,10,1,0,524,109614.57,0
Capon,15640635,France,29,Male,0,2,8,1,1,769,172290.61,0
Capon,15676966,Spain,42,Male,0,2,4,0,1,730,85982.47,0
Fiorentini,15699461,Spain,35,Male,176273.95,1,10,0,1,515,121277.78,0
Graham,15738721,Spain,41,Male,102827.44,1,9,0,1,773,64595.25,0
Yuille,15693683,Germany,29,Male,97086.4,2,8,1,1,814,197276.13,0
Allard,15604348,Spain,22,Male,0,2,8,0,0,710,99645.04,0
Fanucci,15633059,France,34,Male,0,2,9,0,0,413,6534.18,0
Fu,15808582,France,40,Female,0,1,6,1,1,665,161848.03,0
Hung,15743192,France,44,Female,0,2,6,0,0,623,167162.43,0
Hung,15580146,France,31,Male,82674.15,1,9,1,0,738,41970.72,0
Bradley,15776605,Spain,36,Male,0,2,7,1,0,528,60536.56,0
Dunbabin,15804919,Spain,65,Female,0,1,1,1,1,670,177655.68,1
Mauldon,15613854,Spain,46,Female,107073.27,2,4,1,1,622,30984.59,1
Stiger,15599195,Germany,32,Male,88938.62,1,1,1,1,582,10054.53,0
Parsons,15812878,Germany,36,Female,99806.85,1,2,0,1,785,36976.52,0
Walkom,15602312,Spain,33,Male,150092.8,1,5,0,0,605,71862.79,0
T'ang,15744689,Germany,35,Male,92833.89,1,9,1,0,479,99449.86,1
Eremenko,15803526,Germany,30,Male,90536.81,1,3,0,1,685,63082.88,0
Rowntree,15665790,Germany,39,Male,108055.1,2,7,1,0,538,27231.26,0
Thorpe,15715951,France,42,Male,100238.35,1,2,0,0,562,86797.41,0
Chiemela,15591100,Spain,36,Male,106190.55,1,9,0,1,675,22994.32,0
Fanucci,15609618,Germany,28,Male,154475.54,2,9,0,1,721,101300.94,1
Ko,15675522,Germany,30,Female,132351.29,2,9,1,1,628,74169.13,0
Welch,15705512,Germany,37,Female,167864.4,1,6,1,0,668,115638.29,0
Duncan,15698028,France,41,Female,0,2,1,1,0,506,31766.3,0
Chidozie,15661670,Germany,31,Female,107818.63,1,8,1,0,524,199725.39,1
Wu,15600781,Germany,34,Male,185173.81,2,4,1,0,699,120834.48,0
Culbreth,15682472,France,34,Male,129433.34,2,8,0,0,828,38131.77,0
Kennedy,15580203,Spain,39,Male,120193.42,1,6,0,0,674,100130.95,0
Cameron,15690673,France,39,Female,0,2,6,1,0,656,141069.88,0
Calabresi,15760085,Germany,48,Female,126384.42,1,10,1,1,684,198129.36,0
Zetticci,15779659,France,28,Female,0,1,3,0,0,625,183646.41,0
Fuller,15627360,France,42,Male,152603.45,1,9,1,0,432,110265.24,1
MacDonald,15671137,France,52,Female,0,1,1,0,1,549,8636.05,1
Piccio,15782688,Germany,56,Male,148507.24,1,0,1,0,625,46824.08,1
Kennedy,15575492,France,41,Female,0,2,7,1,0,828,171378.77,0
Fernie,15591607,France,24,Male,101827.07,1,9,1,0,770,167256.35,0
He,15740404,France,34,Female,0,2,3,1,1,758,124226.16,0
Kaodilinakachukwu,15718369,Germany,33,Female,130862.43,1,9,1,1,795,114935.21,0
Cocci,15677871,France,38,Male,122570.87,1,9,1,1,687,35608.88,0
Alekseeva,15642004,France,25,Male,0,2,1,0,1,686,16459.37,0
Chinweike,15712543,Germany,39,Male,124828.46,2,7,1,1,789,124411.08,0
Arthur,15584518,Germany,50,Female,144895.05,2,5,1,1,589,34941.23,0
Li,15802381,Germany,34,Female,63663.93,1,5,0,1,461,167784.28,0
Ma,15610156,France,40,Male,133463.1,1,2,0,1,637,93165.34,0
Chia,15594408,Spain,48,Female,213146.2,1,2,1,0,584,75161.25,1
Vasin,15640905,Spain,35,Female,129490.36,2,1,0,1,579,8590.83,1
Groves,15698932,Germany,44,Male,137452.09,1,10,1,0,756,189543.9,0
Tien,15724944,France,34,Male,0,2,7,1,1,663,180427.24,0
Forwood,15628145,France,43,Female,125851.93,1,5,1,1,682,193318.33,0
Greeves,15713483,Spain,52,Male,0,1,2,1,0,793,159123.82,1
Taylor,15612350,France,31,Female,40915.55,1,5,1,0,691,126213.84,1
Madukwe,15800703,Spain,21,Female,113157.22,1,5,1,1,485,54141.5,0
Bennelong,15705707,Spain,29,Female,138296.94,2,8,1,0,635,141075.51,0
Olisanugo,15754105,France,37,Male,106967.18,1,5,0,0,650,24495.03,0
Chukwufumnanya,15703264,France,44,Male,120681.63,1,9,1,0,735,74836.34,0
Harris,15794413,France,32,Male,0,2,0,0,1,416,878.87,0
Morgan,15650237,Spain,32,Female,0,2,7,1,0,754,89520.75,0
Alexeeva,15759618,France,48,Female,0,1,9,1,0,535,149892.79,1
Metcalfe,15811589,Spain,42,Male,0,2,8,1,0,716,180800.42,0
Humphries,15689044,France,37,Male,127609.59,1,2,1,0,539,98646.22,0
Milne,15709368,France,43,Female,0,2,6,1,1,614,109041.53,0
Chou,15679145,Spain,57,Male,0,1,7,1,0,706,17941.16,1
Li,15655007,France,33,Female,0,2,7,0,0,758,82996.47,0
Clayton,15623595,Spain,28,Female,0,2,2,1,1,586,92067.35,0
Maclean,15589975,France,73,Female,97259.25,1,6,0,1,646,104719.66,0
Chigolum,15804017,Germany,33,Female,123246.7,1,4,0,0,631,112687.57,0
Wilkinson,15692132,Spain,22,Female,101060.25,1,6,0,1,717,84699.56,0
Wei,15641122,France,30,Male,0,2,2,1,0,684,83473.82,0
Treacy,15630910,France,49,Female,108007.36,1,7,0,0,800,47125.11,0
Hu,15680772,Spain,36,Female,0,2,2,1,1,721,106977.8,0
Taverner,15658929,Spain,29,Male,133702.89,1,0,1,0,683,55582.54,1
Sherman,15585388,Germany,31,Male,125189.75,2,9,1,1,660,139874.43,0
Taubman,15724623,Germany,24,Female,113034.22,1,7,1,0,704,162503.48,1
Robinson,15588537,Spain,41,Female,109013.23,1,9,1,0,615,196499.96,0
Pinto,15574692,Spain,39,Female,0,2,2,1,0,667,40721.24,1
Wood,15611325,Germany,24,Male,57929.81,2,9,0,0,682,53134.3,0
Hawkins,15587562,France,29,Female,130114.39,1,4,1,0,484,164017.89,0
Sun,15613172,Germany,27,Male,95826.49,2,5,1,0,628,155996.96,0
Yost,15651022,Germany,44,Male,129608.57,1,10,1,0,480,5472.7,1
Ting,15586310,France,30,Male,169462.09,1,4,1,0,578,112187.11,0
Rowe,15625524,France,40,Male,0,2,5,1,1,512,146457.83,0
Fu,15755209,Spain,35,Female,133868.21,1,7,1,1,484,27286.1,0
Ho,15645248,France,30,Female,0,2,0,1,1,510,130553.47,0
Okechukwu,15790355,Germany,36,Male,190479.48,2,5,0,0,606,179351.89,0
Campbell,15762615,Spain,40,Female,101993.12,1,8,0,1,597,94774.12,0
Ashbolt,15625426,Germany,55,Female,161608.81,1,3,1,0,754,8080.85,1
Rozier,15716334,Spain,45,Female,122311.21,1,2,1,1,850,19482.5,0
Hsia,15789669,France,65,Male,0,2,2,1,1,510,48071.61,0
Ogbonnaya,15621075,Germany,45,Female,162150.42,2,1,1,0,778,174531.27,0
T'ang,15810845,France,42,Male,0,2,2,1,1,636,55470.78,0
Cocci,15719377,France,50,Female,0,1,4,1,1,804,8546.87,1
Chang,15654506,France,32,Male,0,2,8,1,0,514,95857.18,0
T'ao,15771977,France,39,Female,99010.67,1,1,1,0,730,194945.8,0
Ford,15708710,Spain,37,Female,0,1,0,0,1,525,131521.72,0
Marshall,15726676,Spain,30,Male,0,2,5,0,1,616,196108.51,0
Tsai,15587421,Germany,34,Female,111388.18,2,7,1,0,687,148564.76,0
Onwumelu,15726931,France,41,Female,56214.85,2,8,0,0,715,92982.61,1
Graham,15771086,France,36,Female,84327.77,2,3,1,0,512,17675.36,0
Golovanov,15756850,France,40,Male,0,2,1,0,0,479,114996.43,0
Potts,15702741,France,32,Male,93012.89,1,8,1,0,601,86957.42,0
Crawford,15679200,Spain,29,Male,61710.44,2,9,1,0,580,128077.8,0
Aleshire,15594815,France,35,Male,174790.15,1,3,1,1,807,600.36,0
Moran,15635905,Spain,32,Female,0,2,6,1,1,616,43001.46,0
Samsonova,15777892,Germany,37,Male,107720.64,1,3,1,1,721,158591.12,0
Jenkins,15656176,France,57,Male,0,2,10,1,1,501,47847.19,0
Volkov,15811127,France,35,Male,96423.84,1,6,1,0,521,10488.44,0
Chiemezie,15604482,Spain,30,Male,141040.01,1,2,1,1,850,5978.2,0
Jude,15622911,France,42,Male,105420.18,1,4,0,1,759,121409.06,0
He,15600974,Spain,50,Male,0,1,5,0,1,516,146145.93,1
Onuora,15727868,France,38,Female,129022.06,2,2,1,1,711,14374.86,1
Ginikanwa,15627801,Spain,33,Male,176666.62,1,3,1,0,512,94670.77,0
Ku,15773039,France,37,Male,0,1,3,1,1,550,179670.31,0
McDonald,15755262,Spain,41,Female,89763.84,1,3,0,0,608,199304.74,1
Collins,15679531,France,34,Male,134954.53,1,5,1,1,618,151954.39,0
Hackett,15684181,France,45,Male,0,1,5,1,0,643,142513.5,1
Dike,15612087,France,45,Male,106376.85,1,2,0,1,671,158264.62,0
Trevisano,15752047,Germany,33,Male,161814.64,2,2,1,0,689,169381.9,0
Tan,15624592,France,31,Male,0,2,8,1,1,603,169915.02,0
Glassman,15573152,France,41,Female,0,2,9,0,0,620,88852.47,0
Miller,15594917,France,34,Female,63095.01,1,1,1,1,676,40645.81,0
Kornilova,15785542,Germany,26,Male,118287.01,2,4,0,0,572,60427.3,0
Watson,15723488,Germany,47,Male,106854.21,1,7,0,1,668,157959.02,1
Marchesi,15680920,France,46,Male,49512.55,1,7,1,0,695,133007.34,0
Millar,15786308,Spain,33,Female,0,2,9,0,0,730,176576.62,0
Shih,15659366,France,43,Male,105799.32,2,1,1,0,807,34888.04,1
Fuller,15774854,France,54,Male,0,1,8,1,1,592,28737.71,1
Hay,15725311,France,31,Female,114722.05,2,9,1,1,726,98178.57,0
Yang,15787155,Spain,30,Male,0,1,7,0,1,514,125010.24,0
McIntyre,15727829,France,42,Male,0,2,2,1,1,567,167984.61,0
Stevenson,15733247,France,33,Male,0,1,10,1,0,850,4861.72,1
Poole,15568748,Germany,45,Male,99564.22,1,6,1,1,671,108872.45,1
Bagley,15699029,France,37,Male,170557.91,2,4,1,0,670,198252.88,0
Ch'ien,15774393,France,30,Female,0,2,9,1,1,694,26960.31,0
Cattaneo,15676895,Germany,39,Female,74596.15,3,6,1,1,547,85746.52,1
O'Sullivan,15637753,Germany,50,Male,96888.39,1,2,1,0,751,77206.25,1
Lucas,15605461,Germany,29,Female,130830.22,1,3,1,0,594,61048.53,0
Ringrose,15808473,France,72,Male,0,2,1,0,1,673,111981.19,0
Freeman,15627000,France,40,Male,0,2,0,1,0,610,62232.6,0
Sergeyev,15787174,France,37,Female,0,2,1,0,1,512,156105.03,0
Fiore,15723886,Germany,20,Male,119714.25,2,3,0,1,767,150135.38,0
Smith,15704769,France,67,Female,113978.97,2,5,0,1,585,93146.11,0
Dumetochukwu,15772896,Germany,42,Male,100160.75,1,6,1,0,763,33462.94,1
Pacheco,15711540,France,29,Female,0,1,2,1,1,712,144375,0
Synnot,15764866,Germany,43,Female,116220.5,3,3,1,0,539,55803.96,1
Johnston,15794056,France,46,Female,0,3,2,1,0,668,89048.46,1
Stevens,15795149,France,28,Male,81173.83,2,2,0,1,703,162812.16,0
Grant,15812009,Spain,38,Male,0,2,4,1,0,662,136259.65,0
Tsao,15651001,Germany,39,Female,116803.8,1,5,1,0,725,124052.97,0
Barnes,15813844,France,37,Male,105961.68,2,8,0,1,703,74158.8,0
McIntosh,15596175,Germany,67,Male,117411.6,1,6,1,1,659,45071.09,1
Madison,15576269,Spain,34,Male,0,2,7,1,0,523,62030.06,0
Ifesinachi,15797219,France,40,Female,123497.58,1,10,1,0,635,131953.23,1
Glazkov,15685500,Germany,26,Male,152400.51,2,7,1,0,772,79414,0
Dimauro,15599792,France,26,Female,0,2,1,1,1,545,199638.56,0
Wieck,15657566,Germany,24,Male,103097.85,1,8,1,1,634,157577.29,0
Liao,15772423,Germany,54,Male,126418.14,1,8,1,0,739,134420.75,1
Hughes,15628112,Germany,36,Female,77846.9,1,5,0,0,771,99805.99,0
Morrison,15753754,Spain,34,Female,0,2,1,1,1,587,97932.68,0
Matveyeva,15793726,France,79,Female,0,2,0,0,1,681,170968.99,0
Ku,15694717,Germany,37,Male,79731.91,1,2,1,1,544,57558.95,0
Cheatham,15665834,Spain,28,Male,0,1,8,0,0,696,176713.47,0
Yao,15765297,Spain,41,Male,0,2,0,0,1,766,34283.23,0
Kirkland,15636684,France,34,Male,0,2,10,1,1,727,198637.34,0
Rose,15592979,Germany,34,Female,37266.67,2,6,0,0,671,156917.12,0
Jess,15750803,France,30,Female,127992.25,1,6,1,1,693,50457.2,0
Welch,15607178,Germany,38,Male,54901.01,1,3,1,1,850,140075.55,0
Ifeajuna,15713853,Germany,42,Male,108748.08,2,9,1,1,732,65323.11,0
Morton,15673481,Spain,48,Female,99906.19,1,6,1,0,726,64323.24,0
Rossi,15686776,France,32,Female,184686.41,2,6,1,0,557,14956.44,0
Reppert,15673693,France,26,Female,110654.02,1,0,0,1,682,111879.21,0
Kang,15700696,Spain,31,Male,79019.8,1,9,1,1,738,18606.23,0
Ch'iu,15813163,Spain,36,Female,99240.51,1,9,1,0,531,123137.01,0
Wallis,15653857,France,34,Male,0,2,2,1,1,498,148528.24,0
Clark,15777076,France,36,Male,0,2,7,1,0,651,13898.31,0
Fielding,15717398,Spain,39,Female,0,1,7,0,0,549,81259.25,1
Zetticci,15799217,Germany,35,Female,52436.2,1,7,1,0,791,161051.75,0
Dulhunty,15787071,Spain,41,Male,0,2,9,0,1,650,191599.67,0
Bevington,15619955,Germany,34,Male,100337.96,3,3,1,0,733,48559.19,1
Boyle,15796505,Germany,34,Female,149297.19,2,1,1,1,811,186339.74,0
Newton,15725166,France,30,Male,0,2,8,1,0,707,33159.37,0
Bowman,15800116,Germany,28,Male,145605.44,1,4,0,1,712,93883.53,0
Dubinina,15758685,Spain,37,Female,0,2,7,1,1,706,110899.3,0
Toscani,15694456,France,62,Male,0,1,3,1,1,756,11199.04,1
Chiazagomekpere,15767339,France,53,Female,0,2,10,1,0,777,189992.97,0
Allen,15683562,France,35,Male,84026.86,1,6,0,1,646,164255.69,0
K'ung,15782210,France,46,Male,0,1,1,1,0,714,152167.79,1
Wilsmore,15668893,France,39,Male,0,2,8,1,1,782,33949.67,0
Hargreaves,15669169,Spain,29,Male,0,2,10,1,1,775,68143.93,0
Huang,15643024,Germany,35,Male,138718.92,1,4,1,1,479,47251.79,1
Ch'ien,15699389,France,42,Male,118274.71,1,7,1,1,807,25885.72,0
Wallwork,15708608,France,22,Female,174185.98,2,8,0,1,799,192633.85,0
Chu,15626144,France,40,Male,113208.86,2,7,1,0,675,34577.36,0
Kang,15573112,Spain,29,Male,103907.28,1,5,1,0,602,161229.84,0
Davidson,15790678,France,32,Female,119023.28,1,8,1,0,475,100816.29,0
O'Donnell,15727556,Spain,26,Female,166297.89,1,5,1,1,744,181694.44,0
Nnachetam,15697307,Spain,34,Male,0,2,10,1,0,588,79078.91,0
Chidiebele,15652266,Germany,42,Male,63227,1,9,0,1,703,137316.32,0
Ahmed,15607098,Spain,41,Female,94521.17,2,5,1,0,747,194926.86,0
Booth,15655774,France,27,Male,0,2,7,1,0,583,51285.49,0
Chuang,15590241,Spain,34,Female,112822.26,1,9,0,0,750,150401.53,1
Shao,15785819,France,38,Male,0,2,3,1,1,681,112491.96,0
Tsao,15723654,France,25,Male,135903.33,1,2,1,0,773,73656.38,0
Tien,15774510,France,31,Female,125169.26,1,4,1,1,714,106636.89,0
Chang,15684173,Spain,44,Female,0,3,7,1,0,687,155853.52,1
Johnson,15650068,France,58,Male,149117.31,1,0,1,1,511,162599.51,0
French,15811490,France,33,Male,0,2,5,1,1,627,103737.82,0
Efremov,15803976,France,31,Female,0,2,10,1,0,694,160990.27,0
Hartley,15682541,Spain,36,Female,132311.71,1,6,0,0,616,15462.84,0
Calabrese,15695699,France,35,Male,0,2,8,1,0,687,10334.05,0
Chiu,15624188,France,33,Female,0,2,6,1,1,712,190686.16,0
Brennan,15812191,France,33,Male,118082.89,1,4,0,0,553,94440.45,0
Onwuatuegwu,15636673,France,31,Male,119266.69,1,1,1,1,667,28257.63,0
Hewitt,15594898,France,43,Male,0,1,2,1,1,731,170034.95,1
Shih,15660211,Germany,35,Male,156847.29,2,7,1,0,629,31824.29,0
Balashov,15773972,France,50,Male,137104.47,1,4,1,0,614,127166.49,1
Doyle,15746726,Germany,31,Male,78398.69,1,8,1,0,438,44937.01,0
Pokrovskii,15712287,France,80,Female,0,2,4,1,1,652,188603.07,0
Collins,15702919,Germany,30,Male,63669.42,1,6,1,0,729,145111.37,0
Russo,15674398,France,38,Male,0,2,3,0,0,642,171463.83,0
Skinner,15797960,Germany,59,Female,135296.33,1,0,1,0,806,182822.5,0
Robertson,15631868,Spain,36,Male,153804.44,1,2,1,1,744,87213.33,0
Atkinson,15581539,Spain,37,Male,0,2,3,0,0,474,57175.32,0
Doyle,15662736,France,49,Male,147069.78,1,2,1,0,559,120540.83,1
Ritchie,15666252,Spain,42,Male,0,2,9,1,1,706,28714.34,0
McEncroe,15677512,Spain,22,Female,0,1,3,1,0,628,85426.28,0
Pearson,15626114,France,24,Male,95741.75,1,4,1,0,429,46170.75,0
Gordon,15810834,Spain,57,Female,145965.33,1,2,1,1,525,64448.36,0
Ts'ai,15678910,France,30,Female,141441.75,1,8,1,1,680,16278.97,0
Lung,15694408,France,40,Male,139290.41,1,1,1,0,749,182855.42,1
Yuan,15585215,France,31,Female,0,2,4,0,0,763,50404.72,0
Pardey,15682757,France,30,Male,0,2,3,1,0,734,107640.25,0
Tai,15736601,France,35,Male,144428.87,1,4,1,0,716,134132.65,0
Scott,15601848,France,35,Male,0,2,2,1,0,594,103480.69,0
Hunter,15736008,France,46,Female,95441.27,1,9,1,0,644,108761.05,1
Mazzanti,15669064,Germany,35,Male,144848.74,1,1,1,1,671,179012.3,0
L?,15624528,Germany,26,Male,116244.14,2,7,1,1,664,95145.14,0
Beach,15598493,France,50,Male,0,2,7,0,1,656,72143.44,0
Hsieh,15601274,Spain,40,Female,146502.07,1,1,1,0,667,19162.89,0
Faulkner,15702669,Germany,44,Male,117028.6,2,2,0,1,663,144680.18,0
Knowles,15728669,Germany,30,Female,112013.81,1,8,1,0,584,177772.03,1
Day,15742668,Spain,37,Female,108269.37,1,6,1,0,626,5597.94,0
Hsueh,15697441,France,29,Male,182123.79,1,7,1,0,485,116828.51,1
Tsao,15740476,Germany,32,Female,150923.74,2,3,0,1,659,174652.51,0
Kennedy,15648064,France,33,Male,0,2,2,1,0,649,2010.98,0
Nwabugwu,15636624,Spain,39,Female,165272.13,1,5,1,0,805,14109.85,1
Young,15807923,Germany,39,Female,115301.31,1,10,1,0,716,43527.4,1
Kerr,15745844,Germany,40,Female,129502.49,2,6,0,1,642,86099.23,1
Tien,15786170,France,31,Male,118342.26,1,4,0,0,659,161574.19,0
Marrero,15681081,Spain,47,Female,0,2,5,1,1,545,38970.14,0
White,15684484,France,22,Male,0,2,8,0,0,543,127587.22,0
Pisano,15785869,France,25,Female,0,2,7,1,0,718,30380.12,0
Brown,15763859,France,43,Female,0,2,7,1,0,840,90908.95,0
Freeman,15658935,Germany,34,Female,106937.05,2,9,1,0,630,138275.01,0
Russell,15747358,Germany,59,Male,170331.37,1,3,1,1,643,32171.79,0
Seleznyov,15735203,Germany,32,Female,114510.85,1,1,1,1,654,126143.23,0
Yusupova,15576256,France,39,Male,0,2,5,1,1,582,129892.93,0
Foley,15659420,Spain,32,Male,107594.11,2,3,1,1,659,102416.84,0
Shih,15593365,Spain,39,Male,81273.13,1,2,1,1,762,18719.67,0
Ikedinachukwu,15777352,Spain,32,Female,169399.6,1,7,1,0,568,61936.22,0
Power,15812007,Spain,25,Male,0,2,6,1,1,670,78358.94,0
Amos,15625461,France,45,Female,187841.99,2,1,1,1,613,147224.27,0
Reed,15739438,France,30,Male,0,2,0,1,0,539,160979.66,0
Simmons,15611759,Spain,57,Female,126776.3,2,8,1,1,850,132298.49,0
Ricci,15661629,Spain,34,Male,126436.29,1,9,1,0,522,174248.52,1
Yen,15633950,France,41,Male,101960.74,1,1,1,1,737,123547.28,0
Campbell,15592386,France,58,Male,0,2,3,0,1,520,32790.02,0
West,15803716,Spain,28,Male,0,2,3,0,1,706,181543.67,0
Robinson,15696674,Germany,45,Female,150842.93,1,2,0,1,643,2319.96,1
Bianchi,15706365,France,50,Female,102535.57,1,9,1,1,648,189543.19,0
Chen,15745088,Germany,29,Female,99027.61,2,9,1,0,443,10940.4,0
Madukaego,15676715,France,68,Male,0,2,9,1,1,640,199493.38,0
